Dataset,Model,Best k,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
Cora,Feature-Based_Roles,7,0.4842981994152069,0.6763140182736825,1728.0277099609375
Cora,GNN_Embedder_GAE,3,0.6057794094085693,0.5832095005228456,4121.41845703125
Cora,GNN_Embedder_DGI,3,0.6338770389556885,0.530556401952042,3315.86279296875
Actor,Feature-Based_Roles,5,0.5061193704605103,0.6676534762662338,7246.25537109375
Actor,GNN_Embedder_GAE,3,0.7621217370033264,0.345928632742795,9123.8896484375
Actor,GNN_Embedder_DGI,3,0.695232629776001,0.5630870069012012,6426.50439453125
CLUSTER,Feature-Based_Roles,3,0.3791806101799011,0.8358064895107669,112.961181640625
CLUSTER,GNN_Embedder_GAE,7,0.567156195640564,0.4500199048144314,531.424560546875
CLUSTER,GNN_Embedder_DGI,5,0.5577976107597351,0.4552940815655118,340.50927734375
