role_id,num_nodes,avg_degree,avg_betweenness,avg_closeness,avg_eigenvector,avg_pagerank,avg_clustering_coeff
0,1750,0.0011947860045384982,0.0010646783751159501,0.14661424674401197,0.0011067216652477622,0.0003144492742163541,0.09733922902494331
1,130,0.004830780597311813,0.009136748901454104,0.16992317067056995,0.00302190167832343,0.0010248632297791414,0.09932837112112654
2,223,0.0006924416187230912,1.8898729122174273e-06,0.0009466353133382486,-4.315339201179976e-20,0.00036927621861152144,0.2745248772154602
3,1,0.062061322497229406,0.23588976781705245,0.22276881556604902,0.6543415642873577,0.012206568911713374,0.01140575990875392
4,8,0.018516808274842998,0.06487172680961688,0.21110124052445847,0.023296058876763916,0.0038471905897240794,0.022360177792270515
5,167,0.0018559113763606883,0.0022591382146847886,0.1820862556943203,0.05574553655751837,0.00040532590276580493,0.37758197563548496
6,429,0.0011797093437285531,0.00012216871194504692,0.14239873308117812,0.001103734253138761,0.0002877842286907393,0.8019147519147518
