,Role 0,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6
Role 0,0.6339222614840989,0.18515901060070672,0.0,0.0,0.05035335689045936,0.044346289752650175,0.0862190812720848
Role 1,0.6164705882352941,0.12588235294117647,0.0,0.000588235294117647,0.024705882352941175,0.018823529411764704,0.21352941176470588
Role 2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Role 3,0.0,0.005952380952380952,0.0,0.0,0.005952380952380952,0.9880952380952381,0.0
Role 4,0.7107231920199502,0.10473815461346633,0.0,0.0024937655860349127,0.004987531172069825,0.034912718204488775,0.14214463840399003
Role 5,0.29916567342073896,0.03814064362336114,0.0,0.19785458879618595,0.0166865315852205,0.3837902264600715,0.06436233611442194
Role 6,0.3562043795620438,0.26496350364963506,0.0,0.0,0.041605839416058395,0.03941605839416058,0.29781021897810217
