k,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
3,0.6191691756248474,0.5763540852312142,3727.3720703125
4,0.5756372809410095,0.5347931319406999,4518.251953125
5,0.558034360408783,0.5393669254259521,4727.67822265625
6,0.5859501957893372,0.4587217882691046,5737.43359375
7,0.5794038772583008,0.4561942283049574,6949.9697265625
