,Role 0,Role 1,Role 2,Role 3,Role 4
Role 0,2120,204,40,1024,3780
Role 1,204,148,2,90,336
Role 2,40,2,114,10,62
Role 3,1024,90,10,58,1424
Role 4,3780,336,62,1424,1144
