,Role 0,Role 1,Role 2,Role 3,Role 4,Role 5
Role 0,5482,1560,588,0,2,1078
Role 1,1560,378,102,0,0,244
Role 2,588,102,322,334,0,34
Role 3,0,0,334,0,0,2
Role 4,2,0,0,0,418,0
Role 5,1078,244,34,2,0,12
