,Role 0,Role 1,Role 2
Role 0,0.8984019596407326,0.026945060072320073,0.07465298028694739
Role 1,0.3862876254180602,0.19063545150501673,0.4230769230769231
Role 2,0.4620938628158845,0.18267148014440432,0.3552346570397112
