,Role 0,Role 1,Role 2,Role 3,Role 4
Role 0,0.45650301464254955,0.021963824289405683,0.004306632213608958,0.11024978466838932,0.4069767441860465
Role 1,0.21982758620689655,0.31896551724137934,0.0021551724137931034,0.09698275862068965,0.3620689655172414
Role 2,0.11695906432748537,0.005847953216374269,0.6666666666666666,0.029239766081871343,0.18128654970760233
Role 3,0.3843843843843844,0.033783783783783786,0.0037537537537537537,0.04354354354354354,0.5345345345345346
Role 4,0.4790874524714829,0.04258555133079848,0.007858048162230671,0.18048162230671735,0.2899873257287706
