,Role 0,Role 1,Role 2,Role 3
Role 0,0.8968789013732834,0.002122347066167291,0.056679151061173536,0.04431960049937578
Role 1,0.10119047619047619,0.0,0.8273809523809523,0.07142857142857142
Role 2,0.3730484798685292,0.114215283483977,0.46343467543138867,0.049301561216105176
Role 3,0.305770887166236,0.0103359173126615,0.05167958656330749,0.632213608957795
