,Role 0,Role 1,Role 2
Role 0,0.35766423357664234,0.35523114355231145,0.2871046228710462
Role 1,0.03843116609634114,0.7341405633061332,0.22742827059752566
Role 2,0.1104868913857678,0.8089887640449438,0.08052434456928839
