role_id,num_nodes,avg_degree,avg_betweenness,avg_closeness,avg_eigenvector,avg_pagerank,avg_clustering_coeff
0,811,0.002115354219343648,0.0023118325568523054,0.1442653724811426,0.005871784252346338,0.0004940214273168435,0.2523989100337969
1,374,0.00045830872228664444,0.00011004598922296851,0.12457915426239181,0.0011499021140470862,0.0001892367075154198,0.0037433155080213902
2,171,0.00036941263391207974,0.0,0.043721410271777846,0.00015048526256168605,0.0002958442968347775,0.0
3,47,0.010469311241933836,0.025764206327725074,0.1797947710650597,0.029531926803561908,0.0021174651372637644,0.07278281231601966
4,1305,0.0011167301461939884,0.0008497815294195057,0.14771382944347514,0.004863994489193304,0.0002900106188698307,0.3388712522045855
