,Role 0,Role 1,Role 2
Role 0,0.9162942384345936,0.07766638482908564,0.0060393767363208116
Role 1,0.30488383119962065,0.6391654812707445,0.0559506875296349
Role 2,0.2976190476190476,0.7023809523809523,0.0
