k,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
3,0.9658541083335876,0.1634879395318395,4971.14453125
4,0.8387234807014465,0.3581110303797624,13608.439453125
5,0.7535268068313599,0.4207895947828277,20635.279296875
6,0.7010959386825562,0.5002158706263756,25351.99609375
7,0.6725653409957886,0.554898483500204,27984.140625
