,Role 0,Role 1,Role 2,Role 3,Role 4
Role 0,0.3511864406779661,0.14033898305084747,0.1871186440677966,0.007457627118644068,0.31389830508474575
Role 1,0.375,0.11231884057971014,0.21739130434782608,0.009057971014492754,0.286231884057971
Role 2,0.3556701030927835,0.15463917525773196,0.15721649484536082,0.00902061855670103,0.3234536082474227
Role 3,0.2619047619047619,0.11904761904761904,0.16666666666666666,0.047619047619047616,0.40476190476190477
Role 4,0.36775218427323275,0.1254964257347101,0.1993645750595711,0.013502779984114376,0.29388403494837173
