,Role 0,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6
Role 0,0.20098039215686275,0.24387254901960784,0.09068627450980392,0.23039215686274508,0.08333333333333333,0.13848039215686275,0.012254901960784314
Role 1,0.18425925925925926,0.25555555555555554,0.11203703703703703,0.2212962962962963,0.0824074074074074,0.13425925925925927,0.010185185185185186
Role 2,0.18362282878411912,0.3002481389578164,0.06947890818858561,0.23573200992555832,0.06947890818858561,0.13647642679900746,0.004962779156327543
Role 3,0.21171171171171171,0.26914414414414417,0.10698198198198199,0.20045045045045046,0.07094594594594594,0.134009009009009,0.006756756756756757
Role 4,0.21052631578947367,0.2755417956656347,0.08668730650154799,0.19504643962848298,0.08668730650154799,0.13622291021671826,0.009287925696594427
Role 5,0.20471014492753623,0.26268115942028986,0.09963768115942029,0.21557971014492755,0.07971014492753623,0.12318840579710146,0.014492753623188406
Role 6,0.23809523809523808,0.2619047619047619,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.19047619047619047,0.047619047619047616
