,Role 0,Role 1,Role 2,Role 3,Role 4,Role 5
Role 0,0.29688888888888887,0.20177777777777778,0.08977777777777778,0.17422222222222222,0.2248888888888889,0.012444444444444444
Role 1,0.29102564102564105,0.23076923076923078,0.06538461538461539,0.15512820512820513,0.24615384615384617,0.011538461538461539
Role 2,0.2518703241895262,0.12718204488778054,0.10972568578553615,0.24937655860349128,0.2543640897755611,0.007481296758104738
Role 3,0.24936386768447838,0.15394402035623408,0.1272264631043257,0.21628498727735368,0.24681933842239187,0.006361323155216285
Role 4,0.26082474226804125,0.1979381443298969,0.10515463917525773,0.2,0.2268041237113402,0.009278350515463918
Role 5,0.3333333333333333,0.21428571428571427,0.07142857142857142,0.11904761904761904,0.21428571428571427,0.047619047619047616
